DATE;EUR;USD;GBP;CHF;CNY
Nov 30, 2015;0.1083;0.1146;0.0762;0.1181;0.7331
Nov 29, 2015;0.1081;0.1144;0.0761;0.1179;0.7310
Nov 28, 2015;0.1081;0.1145;0.0761;0.1179;0.7319
Nov 27, 2015;0.1081;0.1145;0.0760;0.1176;0.7323
Nov 26, 2015;0.1079;0.1146;0.0758;0.1172;0.7318
Nov 25, 2015;0.1079;0.1147;0.0760;0.1169;0.7329
Nov 24, 2015;0.1079;0.1148;0.0760;0.1169;0.7336
Nov 23, 2015;0.1079;0.1146;0.0756;0.1169;0.7322
Nov 22, 2015;0.1078;0.1146;0.0754;0.1167;0.7316
Nov 21, 2015;0.1078;0.1147;0.0755;0.1169;0.7326
Nov 20, 2015;0.1077;0.1151;0.0754;0.1169;0.7347
Nov 19, 2015;0.1076;0.1151;0.0753;0.1171;0.7344
Nov 18, 2015;0.1075;0.1145;0.0752;0.1164;0.7309
Nov 17, 2015;0.1074;0.1143;0.0752;0.1157;0.7287
Nov 16, 2015;0.1073;0.1146;0.0753;0.1154;0.7299
Nov 15, 2015;0.1071;0.1146;0.0752;0.1153;0.7300
Nov 14, 2015;0.1071;0.1153;0.0757;0.1161;0.7352
Nov 13, 2015;0.1072;0.1156;0.0760;0.1160;0.7368
Nov 12, 2015;0.1073;0.1154;0.0759;0.1158;0.7351
Nov 11, 2015;0.1073;0.1152;0.0759;0.1158;0.7333
Nov 10, 2015;0.1072;0.1151;0.0761;0.1156;0.7318
Nov 9, 2015;0.1069;0.1150;0.0763;0.1155;0.7315
Nov 8, 2015;0.1068;0.1146;0.0761;0.1153;0.7280
Nov 7, 2015;0.1066;0.1148;0.0758;0.1155;0.7296
Nov 6, 2015;0.1066;0.1148;0.0758;0.1147;0.7296
Nov 5, 2015;0.1066;0.1159;0.0756;0.1153;0.7352
Nov 4, 2015;0.1068;0.1166;0.0757;0.1157;0.7386
Nov 3, 2015;0.1066;0.1171;0.0760;0.1158;0.7419
Nov 2, 2015;0.1065;0.1174;0.0760;0.1159;0.7440
Nov 1, 2015;0.1064;0.1172;0.0760;0.1158;0.7407
Oct 31, 2015;0.1064;0.1171;0.0759;0.1157;0.7398
Oct 30, 2015;0.1067;0.1171;0.0762;0.1157;0.7440
Oct 29, 2015;0.1070;0.1171;0.0766;0.1162;0.7440
Oct 28, 2015;0.1068;0.1179;0.0770;0.1163;0.7494
Oct 27, 2015;0.1065;0.1177;0.0767;0.1157;0.7473
Oct 26, 2015;0.1067;0.1177;0.0767;0.1153;0.7476
Oct 25, 2015;0.1068;0.1176;0.0768;0.1152;0.7468
Oct 24, 2015;0.1068;0.1176;0.0768;0.1151;0.7468
Oct 23, 2015;0.1066;0.1180;0.0767;0.1151;0.7498
Oct 22, 2015;0.1062;0.1196;0.0775;0.1153;0.7599
Oct 21, 2015;0.1060;0.1204;0.0779;0.1152;0.7638
Oct 20, 2015;0.1062;0.1205;0.0779;0.1151;0.7652
Oct 19, 2015;0.1066;0.1209;0.0782;0.1155;0.7688
Oct 18, 2015;0.1069;0.1214;0.0786;0.1157;0.7708
Oct 17, 2015;0.1069;0.1213;0.0786;0.1157;0.7705
Oct 16, 2015;0.1069;0.1215;0.0786;0.1157;0.7717
Oct 15, 2015;0.1072;0.1226;0.0792;0.1165;0.7780
Oct 14, 2015;0.1078;0.1231;0.0802;0.1176;0.7810
Oct 13, 2015;0.1079;0.1227;0.0803;0.1179;0.7778
Oct 12, 2015;0.1075;0.1222;0.0797;0.1175;0.7726
Oct 11, 2015;0.1075;0.1220;0.0796;0.1173;0.7739
Oct 10, 2015;0.1075;0.1220;0.0797;0.1174;0.7742
Oct 9, 2015;0.1076;0.1218;0.0794;0.1174;0.7730
Oct 8, 2015;0.1077;0.1214;0.0792;0.1177;0.7709
Oct 7, 2015;0.1078;0.1214;0.0794;0.1176;0.7713
Oct 6, 2015;0.1075;0.1206;0.0794;0.1173;0.7660
Oct 5, 2015;0.1069;0.1199;0.0789;0.1166;0.7620
Oct 4, 2015;0.1068;0.1197;0.0788;0.1163;0.7605
Oct 3, 2015;0.1068;0.1197;0.0788;0.1163;0.7605
Oct 2, 2015;0.1068;0.1196;0.0789;0.1166;0.7600
Oct 1, 2015;0.1069;0.1194;0.0788;0.1165;0.7585
Sep 30, 2015;0.1064;0.1193;0.0787;0.1161;0.7580
Sep 29, 2015;0.1056;0.1188;0.0783;0.1155;0.7555
Sep 28, 2015;0.1058;0.1185;0.0780;0.1159;0.7545
Sep 27, 2015;0.1062;0.1189;0.0783;0.1165;0.7577
Sep 26, 2015;0.1062;0.1189;0.0783;0.1165;0.7579
Sep 25, 2015;0.1064;0.1188;0.0781;0.1163;0.7573
Sep 24, 2015;0.1062;0.1190;0.0780;0.1162;0.7595
Sep 23, 2015;0.1067;0.1189;0.0777;0.1161;0.7589
Sep 22, 2015;0.1070;0.1195;0.0773;0.1163;0.7616
Sep 21, 2015;0.1072;0.1207;0.0777;0.1170;0.7686
Sep 20, 2015;0.1073;0.1212;0.0780;0.1174;0.7714
Sep 19, 2015;0.1073;0.1213;0.0781;0.1175;0.7718
Sep 18, 2015;0.1071;0.1221;0.0783;0.1172;0.7766
Sep 17, 2015;0.1072;0.1213;0.0781;0.1176;0.7722
Sep 16, 2015;0.1071;0.1207;0.0783;0.1174;0.7689
Sep 15, 2015;0.1071;0.1210;0.0785;0.1174;0.7706
Sep 14, 2015;0.1071;0.1214;0.0786;0.1176;0.7726
Sep 13, 2015;0.1071;0.1214;0.0787;0.1177;0.7738
Sep 12, 2015;0.1071;0.1214;0.0787;0.1177;0.7739
Sep 11, 2015;0.1066;0.1204;0.0779;0.1172;0.7669
Sep 10, 2015;0.1062;0.1192;0.0774;0.1163;0.7605
Sep 9, 2015;0.1064;0.1189;0.0773;0.1162;0.7575
Sep 8, 2015;0.1061;0.1186;0.0773;0.1158;0.7552
Sep 7, 2015;0.1062;0.1185;0.0777;0.1153;0.7538
Sep 6, 2015;0.1063;0.1186;0.0781;0.1153;0.7536
Sep 5, 2015;0.1063;0.1185;0.0781;0.1152;0.7534
Sep 4, 2015;0.1066;0.1186;0.0779;0.1155;0.7540
Sep 3, 2015;0.1063;0.1189;0.0778;0.1155;0.7557
Sep 2, 2015;0.1052;0.1185;0.0774;0.1143;0.7534
Sep 1, 2015;0.1051;0.1184;0.0771;0.1140;0.7537
Aug 31, 2015;0.1055;0.1183;0.0768;0.1140;0.7542
Aug 30, 2015;0.1058;0.1182;0.0768;0.1137;0.7548
Aug 29, 2015;0.1058;0.1182;0.0768;0.1137;0.7549
Aug 28, 2015;0.1053;0.1183;0.0768;0.1139;0.7558
Aug 27, 2015;0.1045;0.1180;0.0763;0.1129;0.7558
Aug 26, 2015;0.1038;0.1189;0.0761;0.1123;0.7620
Aug 25, 2015;0.1043;0.1201;0.0762;0.1128;0.7701
Aug 24, 2015;0.1049;0.1205;0.0767;0.1133;0.7714
Aug 23, 2015;0.1051;0.1197;0.0763;0.1133;0.7647
Aug 22, 2015;0.1051;0.1197;0.0763;0.1133;0.7648
Aug 21, 2015;0.1048;0.1183;0.0754;0.1130;0.7561
Aug 20, 2015;0.1053;0.1175;0.0749;0.1133;0.7508
Aug 19, 2015;0.1059;0.1170;0.0747;0.1139;0.7484
Aug 18, 2015;0.1060;0.1172;0.0750;0.1146;0.7497
Aug 17, 2015;0.1059;0.1174;0.0751;0.1147;0.7507
Aug 16, 2015;0.1058;0.1176;0.0751;0.1147;0.7513
Aug 15, 2015;0.1058;0.1176;0.0752;0.1147;0.7514
Aug 14, 2015;0.1059;0.1180;0.0755;0.1152;0.7543
Aug 13, 2015;0.1051;0.1171;0.0749;0.1143;0.7494
Aug 12, 2015;0.1045;0.1161;0.0745;0.1138;0.7432
Aug 11, 2015;0.1044;0.1151;0.0739;0.1133;0.7274
Aug 10, 2015;0.1042;0.1144;0.0737;0.1125;0.7101
Aug 9, 2015;0.1040;0.1141;0.0736;0.1123;0.7086
Aug 8, 2015;0.1040;0.1141;0.0736;0.1122;0.7084
Aug 7, 2015;0.1045;0.1142;0.0736;0.1122;0.7089
Aug 6, 2015;0.1051;0.1147;0.0736;0.1125;0.7119
Aug 5, 2015;0.1055;0.1147;0.0736;0.1123;0.7122
Aug 4, 2015;0.1056;0.1156;0.0741;0.1122;0.7177
Aug 3, 2015;0.1056;0.1159;0.0742;0.1121;0.7192
Aug 2, 2015;0.1056;0.1159;0.0742;0.1120;0.7199
Aug 1, 2015;0.1056;0.1160;0.0742;0.1120;0.7200
Jul 31, 2015;0.1059;0.1162;0.0744;0.1122;0.7215
Jul 30, 2015;0.1057;0.1158;0.0742;0.1122;0.7186
Jul 29, 2015;0.1055;0.1166;0.0746;0.1122;0.7114
Jul 28, 2015;0.1059;0.1171;0.0751;0.1128;0.7148
Jul 27, 2015;0.1060;0.1171;0.0754;0.1124;0.7146
Jul 26, 2015;0.1061;0.1164;0.0750;0.1121;0.7105
Jul 25, 2015;0.1061;0.1164;0.0750;0.1121;0.7104
Jul 24, 2015;0.1062;0.1165;0.0751;0.1120;0.7110
Jul 23, 2015;0.1063;0.1166;0.0748;0.1117;0.7113
Jul 22, 2015;0.1068;0.1167;0.0748;0.1119;0.7119
Jul 21, 2015;0.1070;0.1163;0.0747;0.1118;0.7096
Jul 20, 2015;0.1069;0.1158;0.0743;0.1115;0.7068
Jul 19, 2015;0.1068;0.1158;0.0742;0.1114;0.7067
Jul 18, 2015;0.1068;0.1156;0.0741;0.1112;0.7056
Jul 17, 2015;0.1072;0.1166;0.0746;0.1117;0.7119
Jul 16, 2015;0.1075;0.1173;0.0751;0.1120;0.7164
Jul 15, 2015;0.1069;0.1175;0.0752;0.1114;0.7177
Jul 14, 2015;0.1068;0.1176;0.0757;0.1115;0.7183
Jul 13, 2015;0.1067;0.1182;0.0762;0.1117;0.7218
Jul 12, 2015;0.1064;0.1186;0.0764;0.1113;0.7242
Jul 11, 2015;0.1064;0.1187;0.0765;0.1114;0.7247
Jul 10, 2015;0.1065;0.1185;0.0767;0.1117;0.7236
Jul 9, 2015;0.1068;0.1180;0.0767;0.1118;0.7208
Jul 8, 2015;0.1067;0.1177;0.0764;0.1114;0.7189
Jul 7, 2015;0.1070;0.1177;0.0758;0.1113;0.7188
Jul 6, 2015;0.1067;0.1179;0.0757;0.1113;0.7199
Jul 5, 2015;0.1065;0.1182;0.0759;0.1111;0.7215
Jul 4, 2015;0.1065;0.1183;0.0760;0.1113;0.7222
Jul 3, 2015;0.1067;0.1184;0.0758;0.1115;0.7227
Jul 2, 2015;0.1074;0.1189;0.0761;0.1125;0.7259
Jul 1, 2015;0.1082;0.1202;0.0767;0.1130;0.7340
Jun 30, 2015;0.1084;0.1212;0.0770;0.1128;0.7399
Jun 29, 2015;0.1084;0.1203;0.0765;0.1124;0.7345
Jun 28, 2015;0.1079;0.1204;0.0764;0.1123;0.7349
Jun 27, 2015;0.1079;0.1205;0.0765;0.1124;0.7357
Jun 26, 2015;0.1081;0.1209;0.0768;0.1130;0.7381
Jun 25, 2015;0.1084;0.1214;0.0772;0.1136;0.7412
Jun 24, 2015;0.1084;0.1213;0.0771;0.1133;0.7409
Jun 23, 2015;0.1084;0.1219;0.0773;0.1133;0.7441
Jun 22, 2015;0.1084;0.1232;0.0777;0.1132;0.7518
Jun 21, 2015;0.1085;0.1233;0.0776;0.1132;0.7523
Jun 20, 2015;0.1085;0.1232;0.0776;0.1131;0.7519
Jun 19, 2015;0.1084;0.1230;0.0775;0.1133;0.7507
Jun 18, 2015;0.1086;0.1235;0.0778;0.1136;0.7539
Jun 17, 2015;0.1086;0.1224;0.0779;0.1136;0.7478
Jun 16, 2015;0.1086;0.1223;0.0783;0.1139;0.7481
Jun 15, 2015;0.1087;0.1221;0.0785;0.1138;0.7467
Jun 14, 2015;0.1085;0.1219;0.0783;0.1131;0.7452
Jun 13, 2015;0.1085;0.1222;0.0785;0.1135;0.7476
Jun 12, 2015;0.1084;0.1218;0.0785;0.1135;0.7450
Jun 11, 2015;0.1076;0.1213;0.0783;0.1133;0.7420
Jun 10, 2015;0.1069;0.1209;0.0782;0.1124;0.7396
Jun 9, 2015;0.1068;0.1205;0.0786;0.1119;0.7365
Jun 8, 2015;0.1070;0.1194;0.0781;0.1119;0.7299
Jun 7, 2015;0.1074;0.1193;0.0781;0.1121;0.7291
Jun 6, 2015;0.1074;0.1194;0.0782;0.1122;0.7294
Jun 5, 2015;0.1073;0.1200;0.0783;0.1124;0.7328
Jun 4, 2015;0.1071;0.1207;0.0786;0.1127;0.7373
Jun 3, 2015;0.1065;0.1191;0.0777;0.1113;0.7278
Jun 2, 2015;0.1065;0.1174;0.0769;0.1104;0.7181
Jun 1, 2015;0.1068;0.1169;0.0766;0.1103;0.7138
May 31, 2015;0.1068;0.1174;0.0767;0.1104;0.7167
May 30, 2015;0.1068;0.1174;0.0768;0.1104;0.7168
May 29, 2015;0.1074;0.1178;0.0770;0.1110;0.7196
May 28, 2015;0.1079;0.1178;0.0768;0.1116;0.7193
May 27, 2015;0.1082;0.1178;0.0766;0.1120;0.7193
May 26, 2015;0.1085;0.1185;0.0768;0.1124;0.7233
May 25, 2015;0.1083;0.1190;0.0769;0.1123;0.7261
May 24, 2015;0.1082;0.1191;0.0769;0.1123;0.7265
May 23, 2015;0.1082;0.1192;0.0769;0.1123;0.7270
May 22, 2015;0.1082;0.1201;0.0769;0.1126;0.7321
May 21, 2015;0.1080;0.1201;0.0769;0.1123;0.7323
May 20, 2015;0.1077;0.1197;0.0771;0.1122;0.7303
May 19, 2015;0.1074;0.1206;0.0774;0.1123;0.7353
May 18, 2015;0.1068;0.1217;0.0775;0.1119;0.7417
May 17, 2015;0.1066;0.1220;0.0775;0.1117;0.7430
May 16, 2015;0.1066;0.1221;0.0776;0.1119;0.7438
May 15, 2015;0.1064;0.1213;0.0770;0.1111;0.7392
May 14, 2015;0.1067;0.1215;0.0771;0.1111;0.7402
May 13, 2015;0.1072;0.1208;0.0769;0.1117;0.7360
May 12, 2015;0.1076;0.1206;0.0771;0.1121;0.7352
May 11, 2015;0.1082;0.1208;0.0780;0.1127;0.7367
May 10, 2015;0.1082;0.1212;0.0785;0.1128;0.7392
May 9, 2015;0.1082;0.1212;0.0785;0.1128;0.7391
May 8, 2015;0.1078;0.1210;0.0783;0.1119;0.7385
May 7, 2015;0.1073;0.1215;0.0797;0.1114;0.7421
May 6, 2015;0.1072;0.1207;0.0793;0.1113;0.7358
May 5, 2015;0.1072;0.1195;0.0789;0.1114;0.7289
May 4, 2015;0.1068;0.1193;0.0788;0.1115;0.7281
May 3, 2015;0.1063;0.1192;0.0787;0.1111;0.7271
May 2, 2015;0.1063;0.1191;0.0786;0.1110;0.7266
May 1, 2015;0.1068;0.1198;0.0784;0.1118;0.7309
Apr 30, 2015;0.1076;0.1200;0.0779;0.1127;0.7319
Apr 29, 2015;0.1076;0.1186;0.0771;0.1127;0.7235
Apr 28, 2015;0.1067;0.1165;0.0763;0.1113;0.7111
Apr 27, 2015;0.1067;0.1160;0.0764;0.1107;0.7079
Apr 26, 2015;0.1066;0.1158;0.0762;0.1105;0.7066
Apr 25, 2015;0.1066;0.1160;0.0763;0.1106;0.7074
Apr 24, 2015;0.1068;0.1158;0.0766;0.1105;0.7065
Apr 23, 2015;0.1069;0.1149;0.0764;0.1108;0.7014
Apr 22, 2015;0.1074;0.1153;0.0769;0.1106;0.7042
Apr 21, 2015;0.1074;0.1151;0.0772;0.1101;0.7029
Apr 20, 2015;0.1073;0.1155;0.0773;0.1102;0.7053
Apr 19, 2015;0.1072;0.1159;0.0774;0.1104;0.7072
Apr 18, 2015;0.1072;0.1159;0.0774;0.1104;0.7071
Apr 17, 2015;0.1078;0.1163;0.0777;0.1110;0.7093
Apr 16, 2015;0.1078;0.1155;0.0776;0.1112;0.7046
Apr 15, 2015;0.1072;0.1140;0.0771;0.1108;0.6962
Apr 14, 2015;0.1072;0.1136;0.0773;0.1109;0.6947
Apr 13, 2015;0.1071;0.1133;0.0774;0.1110;0.6929
Apr 12, 2015;0.1069;0.1134;0.0775;0.1110;0.6928
Apr 11, 2015;0.1069;0.1134;0.0775;0.1110;0.6928
Apr 10, 2015;0.1071;0.1139;0.0776;0.1114;0.6959
Apr 9, 2015;0.1070;0.1149;0.0776;0.1116;0.7020
Apr 8, 2015;0.1068;0.1157;0.0777;0.1115;0.7069
Apr 7, 2015;0.1068;0.1163;0.0781;0.1117;0.7102
Apr 6, 2015;0.1067;0.1172;0.0785;0.1117;0.7151
Apr 5, 2015;0.1066;0.1170;0.0784;0.1114;0.7143
Apr 4, 2015;0.1066;0.1170;0.0784;0.1114;0.7140
Apr 3, 2015;0.1066;0.1163;0.0783;0.1113;0.7104
Apr 2, 2015;0.1070;0.1158;0.0781;0.1115;0.7076
Apr 1, 2015;0.1078;0.1160;0.0782;0.1124;0.7093
Mar 31, 2015;0.1077;0.1160;0.0783;0.1126;0.7095
Mar 30, 2015;0.1072;0.1163;0.0784;0.1122;0.7118
Mar 29, 2015;0.1070;0.1165;0.0783;0.1120;0.7133
Mar 28, 2015;0.1070;0.1165;0.0783;0.1120;0.7133
Mar 27, 2015;0.1071;0.1165;0.0783;0.1122;0.7131
Mar 26, 2015;0.1073;0.1176;0.0790;0.1128;0.7199
Mar 25, 2015;0.1076;0.1178;0.0792;0.1130;0.7210
Mar 24, 2015;0.1075;0.1176;0.0788;0.1132;0.7200
Mar 23, 2015;0.1074;0.1167;0.0781;0.1136;0.7147
Mar 22, 2015;0.1072;0.1162;0.0777;0.1133;0.7119
Mar 21, 2015;0.1072;0.1160;0.0775;0.1131;0.7103
Mar 20, 2015;0.1078;0.1156;0.0780;0.1138;0.7079
Mar 19, 2015;0.1076;0.1154;0.0777;0.1142;0.7069
Mar 18, 2015;0.1083;0.1151;0.0780;0.1152;0.7056
Mar 17, 2015;0.1091;0.1155;0.0781;0.1162;0.7095
Mar 16, 2015;0.1093;0.1152;0.0779;0.1159;0.7088
Mar 15, 2015;0.1094;0.1147;0.0778;0.1153;0.7064
Mar 14, 2015;0.1094;0.1147;0.0778;0.1154;0.7068
Mar 13, 2015;0.1095;0.1157;0.0781;0.1164;0.7123
Mar 12, 2015;0.1098;0.1161;0.0777;0.1169;0.7151
Mar 11, 2015;0.1095;0.1164;0.0774;0.1168;0.7172
Mar 10, 2015;0.1089;0.1174;0.0778;0.1165;0.7230
Mar 9, 2015;0.1088;0.1181;0.0783;0.1164;0.7274
Mar 8, 2015;0.1090;0.1182;0.0786;0.1165;0.7274
Mar 7, 2015;0.1090;0.1182;0.0786;0.1165;0.7274
Mar 6, 2015;0.1088;0.1192;0.0785;0.1165;0.7331
Mar 5, 2015;0.1085;0.1199;0.0786;0.1161;0.7377
Mar 4, 2015;0.1082;0.1205;0.0786;0.1159;0.7418
Mar 3, 2015;0.1076;0.1204;0.0783;0.1155;0.7416
Mar 2, 2015;0.1071;0.1199;0.0778;0.1146;0.7385
Mar 1, 2015;0.1071;0.1200;0.0777;0.1144;0.7395
Feb 28, 2015;0.1071;0.1200;0.0777;0.1144;0.7396
Feb 27, 2015;0.1066;0.1196;0.0775;0.1137;0.7362
Feb 26, 2015;0.1062;0.1201;0.0775;0.1141;0.7385
Feb 25, 2015;0.1054;0.1197;0.0772;0.1136;0.7357
Feb 24, 2015;0.1050;0.1190;0.0770;0.1130;0.7317
Feb 23, 2015;0.1048;0.1189;0.0772;0.1125;0.7313
Feb 22, 2015;0.1049;0.1196;0.0776;0.1122;0.7353
Feb 21, 2015;0.1049;0.1194;0.0775;0.1120;0.7338
Feb 20, 2015;0.1047;0.1189;0.0772;0.1127;0.7312
Feb 19, 2015;0.1048;0.1194;0.0773;0.1128;0.7340
Feb 18, 2015;0.1051;0.1196;0.0777;0.1123;0.7353
Feb 17, 2015;0.1049;0.1194;0.0777;0.1114;0.7341
Feb 16, 2015;0.1045;0.1191;0.0773;0.1108;0.7310
Feb 15, 2015;0.1043;0.1188;0.0771;0.1107;0.7292
Feb 14, 2015;0.1043;0.1187;0.0771;0.1107;0.7287
Feb 13, 2015;0.1041;0.1188;0.0771;0.1104;0.7290
Feb 12, 2015;0.1047;0.1188;0.0776;0.1104;0.7294
Feb 11, 2015;0.1059;0.1197;0.0784;0.1110;0.7357
Feb 10, 2015;0.1059;0.1199;0.0787;0.1108;0.7365
Feb 9, 2015;0.1054;0.1194;0.0783;0.1104;0.7336
Feb 8, 2015;0.1053;0.1191;0.0781;0.1103;0.7320
Feb 7, 2015;0.1053;0.1191;0.0781;0.1103;0.7320
Feb 6, 2015;0.1057;0.1206;0.0788;0.1114;0.7410
Feb 5, 2015;0.1062;0.1210;0.0793;0.1119;0.7440
Feb 4, 2015;0.1061;0.1214;0.0799;0.1123;0.7470
Feb 3, 2015;0.1062;0.1209;0.0802;0.1119;0.7445
Feb 2, 2015;0.1068;0.1209;0.0803;0.1121;0.7457
Feb 1, 2015;0.1070;0.1209;0.0802;0.1114;0.7463
Jan 31, 2015;0.1070;0.1208;0.0802;0.1113;0.7457
Jan 30, 2015;0.1069;0.1210;0.0803;0.1116;0.7450
Jan 29, 2015;0.1070;0.1209;0.0800;0.1106;0.7440
Jan 28, 2015;0.1075;0.1219;0.0803;0.1101;0.7496
Jan 27, 2015;0.1073;0.1212;0.0801;0.1094;0.7457
Jan 26, 2015;0.1071;0.1202;0.0800;0.1067;0.7404
Jan 25, 2015;0.1071;0.1196;0.0798;0.1053;0.7363
Jan 24, 2015;0.1071;0.1200;0.0800;0.1056;0.7382
Jan 23, 2015;0.1071;0.1209;0.0806;0.1056;0.7427
Jan 22, 2015;0.1060;0.1224;0.0809;0.1055;0.7500
Jan 21, 2015;0.1058;0.1225;0.0809;0.1063;0.7506
Jan 20, 2015;0.1060;0.1227;0.0811;0.1076;0.7521
Jan 19, 2015;0.1065;0.1233;0.0814;0.1071;0.7559
Jan 18, 2015;0.1069;0.1236;0.0816;0.1058;0.7575
Jan 17, 2015;0.1069;0.1236;0.0816;0.1059;0.7576
Jan 16, 2015;0.1061;0.1231;0.0811;0.1064;0.7544
Jan 15, 2015;0.1054;0.1230;0.0808;0.1181;0.7519
Jan 14, 2015;0.1052;0.1244;0.0819;0.1268;0.7605
Jan 13, 2015;0.1052;0.1244;0.0820;0.1265;0.7609
Jan 12, 2015;0.1048;0.1241;0.0819;0.1259;0.7595
Jan 11, 2015;0.1048;0.1243;0.0820;0.1260;0.7607
Jan 10, 2015;0.1048;0.1241;0.0819;0.1258;0.7597
Jan 9, 2015;0.1054;0.1245;0.0823;0.1266;0.7625
Jan 8, 2015;0.1060;0.1251;0.0829;0.1272;0.7673
Jan 7, 2015;0.1062;0.1259;0.0832;0.1275;0.7720
Jan 6, 2015;0.1059;0.1264;0.0830;0.1273;0.7754
Jan 5, 2015;0.1054;0.1259;0.0824;0.1267;0.7733
Jan 4, 2015;0.1051;0.1263;0.0824;0.1265;0.7760
Jan 3, 2015;0.1051;0.1261;0.0823;0.1263;0.7747
Jan 2, 2015;0.1057;0.1272;0.0822;0.1270;0.7816
Jan 1, 2015;0.1061;0.1281;0.0822;0.1273;0.7875
Dec 31, 2014;0.1062;0.1289;0.0828;0.1277;0.7924
Dec 30, 2014;0.1054;0.1282;0.0825;0.1268;0.7877
Dec 29, 2014;0.1048;0.1277;0.0821;0.1261;0.7847
Dec 28, 2014;0.1046;0.1278;0.0821;0.1262;0.7842
Dec 27, 2014;0.1046;0.1281;0.0823;0.1265;0.7862
Dec 26, 2014;0.1049;0.1279;0.0822;0.1261;0.7852
Dec 25, 2014;0.1050;0.1281;0.0824;0.1264;0.7871
Dec 24, 2014;0.1052;0.1283;0.0826;0.1266;0.7881
Dec 23, 2014;0.1051;0.1284;0.0825;0.1264;0.7884
Dec 22, 2014;0.1054;0.1290;0.0825;0.1267;0.7922
Dec 21, 2014;0.1057;0.1293;0.0827;0.1273;0.7938
Dec 20, 2014;0.1057;0.1293;0.0827;0.1273;0.7938
Dec 19, 2014;0.1057;0.1297;0.0829;0.1272;0.7962
Dec 18, 2014;0.1058;0.1303;0.0834;0.1273;0.7992
Dec 17, 2014;0.1051;0.1310;0.0834;0.1262;0.8016
Dec 16, 2014;0.1052;0.1313;0.0836;0.1263;0.8035
Dec 15, 2014;0.1061;0.1320;0.0841;0.1274;0.8081
Dec 14, 2014;0.1064;0.1327;0.0845;0.1280;0.8125
Dec 13, 2014;0.1064;0.1325;0.0843;0.1277;0.8110
Dec 12, 2014;0.1067;0.1326;0.0843;0.1281;0.8123
Dec 11, 2014;0.1069;0.1329;0.0846;0.1285;0.8139
Dec 10, 2014;0.1072;0.1329;0.0847;0.1290;0.8146
Dec 9, 2014;0.1075;0.1328;0.0848;0.1293;0.8149
Dec 8, 2014;0.1076;0.1322;0.0848;0.1294;0.8117
Dec 7, 2014;0.1078;0.1323;0.0849;0.1295;0.8126
Dec 6, 2014;0.1078;0.1324;0.0849;0.1295;0.8131
Dec 5, 2014;0.1077;0.1330;0.0850;0.1295;0.8161
Dec 4, 2014;0.1079;0.1331;0.0848;0.1298;0.8167
Dec 3, 2014;0.1077;0.1330;0.0849;0.1296;0.8156
Dec 2, 2014;0.1078;0.1340;0.0853;0.1296;0.8211
Dec 1, 2014;0.1079;0.1344;0.0858;0.1298;0.8239
Nov 30, 2014;0.1078;0.1342;0.0857;0.1296;0.8231
Nov 29, 2014;0.1078;0.1348;0.0861;0.1301;0.8268
Nov 28, 2014;0.1079;0.1348;0.0859;0.1301;0.8267
